Item,Quantidade,Unid.,Tipo Cota,Descrição,Vl. Unitário,Vl. Total
COTA ABERTA 75%,,,,,,
1,900,FRC,Aberta,"ACEBROFILINA 05 MG/ ML X FR C/ 120 ML ( XAROPE INFANTIL)+ COPO MED.","R$10,21","R$9.189,00"
2,900,FRC,Aberta,"ACEBROFILINA 10 MG/ML X FR C/  120 ML (XAROPE ADULTO) +COPO MED.","R$13,55","R$12.195,00"
3,19,FRC,Aberta,"ACETATO DE FLUORMETOLONA OFTÁLMICA 0,1%","R$23,64","R$449,16"
4,750,TB,Aberta,"ACETATO DE HIDROCORTISONA 0,5% + LIDOCAÍNA BASE 2,0% +SUBGALATO DE BISMUTO 2,0% + ÓXIDO DE ZINCO 10,0%POMADA TUBO COM 25G","R$34,96","R$26.220,00"
5,375,TB,Aberta,"ACETATO DE HIDROCORTISONA 5 MG, SULFATO DE NEOMICINA 5MG, TROXERRUTINA 20MG, ÁCIDO ASCÓRBICO 50 MG,BENZOCAÍNA 2 MG TUBO COM 10 GRAMAS","R$19,02","R$7.132,50"
6,750,FRC,Aberta,"ACETATO DE RETINOL (VITAMINA A) 50.000 U.I.COLECALCIFEROL (VITAMINA D) 10.000 U.I. COM 20 ML","R$11,34","R$8.505,00"
7,750,AMP,Aberta,ACETILCISTEÍNA 100MG/ML INJETÁVEL AMP COM 3ML,"R$1,93","R$1.447,50"
8,750,SACHE,Aberta,ACETILCISTEINA 600 MG COM 5 GRS CADA,"R$2,20","R$1.650,00"
9,375,FRC,Aberta,ACETILCISTEÍNA XAROPE ADULTO 40 MG/ML COM 120 ML,"R$31,36","R$11.760,00"
10,375,FRC,Aberta,"ACETILCISTEÍNA XAROPE PEDIÁTRICO 20MG/ML - FRASCO COM120ML","R$16,15","R$6.056,25"
11,750,TB,Aberta,"ACETONIDO DE TRIANCINOLONA 1MG/G BISNAGA C/ 10GPOMADA ORAL","R$7,79","R$5.842,50"
12,750,TB,Aberta,ACICLOVIR  50 MG/G X CREME DERMATÓLOGICO 10 GR,"R$14,00","R$10.500,00"
13,60000,CP,Aberta,ÁCIDO ACETILSALICILICO 100 MG,"R$0,10","R$6.000,00"
14,2250,COMP,Aberta,"ÁCIDO ACETILSALICILICO 100MG, GLICINATO DE ALUMÍNIO15MG, CARBONATO DE MAGNESIO 30MG - COMPRIMIDOTAMPONADO CARDIO","R$0,53","R$1.192,50"
15,750,CP,Aberta,ÁCIDO ACETILSALICÍLICO TAMPONADO 81MG,"R$0,41","R$307,50"
16,750,AMP,Aberta,"ÁCIDO ASCÓRBICO (VITAMINA C) 100MG/ML INJETÁVEL AMP. C/5 ML","R$1,34","R$1.005,00"
17,22500,COMP,Aberta,ÁCIDO FÓLICO 5 MG,"R$0,12","R$2.700,00"
18,750,TB,Aberta,ACIDO MUCOPOLISSACARIDO- POLISSULFURICO 500MG,"R$17,46","R$13.095,00"
19,450,COMP,Aberta,ÁCIDO TIÓCTICO 600 MG,"R$4,58","R$2.061,00"
20,75,AMP,Aberta,ÁCIDO TRANEXÂMICO 50 MG/ML AMPOLA,"R$11,36","R$852,00"
21,375,FRC,Aberta,ÁCIDO VALPRÓICO 50 MG/ML COM 100 ML - DEPAKENE,"R$11,78","R$4.417,50"
22,7500,FRC,Aberta,ÁGUA DESTILADA C/ 10ML,"R$1,61","R$12.075,00"
